Mass,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,sample10,sample11,sample12,sample13,sample14,sample15,sample16,sample17,sample18,sample19,sample20,sample21,sample22,sample23,sample24
203.0560922,0,0,0,0,0,5605594,3805743,5953715,8613861,3313799,3052967,0,0,0,0,0,0,0,0,0,0,0,2821417,0
203.0924828,0,1986709,0,0,0,0,0,0,2388538,0,0,0,0,0,0,3772812,0,0,1822902,1986846,0,0,2436218,0
203.1077374,0,2864677,5264975,2287857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2140288,0,0
204.9634786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4969866,2344964,3193730,0,0,6216985,3590647,0
205.0506203,3049418,8998959,8497855,0,0,0,0,0,2819740,0,0,0,0,0,0,8826422,7614602,3199424,5079929,5799623,4376120,4653308,5803495,5600217
205.0506422,0,0,0,0,2032036,0,0,0,0,0,0,0,7208861,0,0,0,0,0,0,0,0,0,0,0
205.0539832,0,2340039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205.0540103,0,0,2783520,0,0,0,0,0,0,0,0,0,0,0,0,0,6067297,0,0,0,0,0,0,0
205.0717601,1934405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205.0870062,0,6647971,11122989,2670050,0,0,0,0,0,2048311,2351594,0,8847111,0,2905447,5766541,5799144,2368782,0,3030551,2037425,5408957,4865378,4025092
205.0870282,0,0,0,0,2788958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205.1233844,0,2848698,4918106,0,0,0,0,0,0,0,0,0,0,0,0,3677602,0,0,0,0,0,2865353,2195287,0
205.1597702,0,0,0,0,0,0,0,0,0,0,0,0,6884982,0,0,2385414,0,0,0,0,0,0,0,0
206.045879,0,0,0,0,0,10729979,3706697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206.0822693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2170564,2213408
207.0121224,4509690,0,7187623,0,0,0,0,0,0,0,0,0,0,0,0,4778490,5188823,0,0,6831103,5749938,0,0,0
207.012153,0,6347389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7190367,8621026,0,0,0,0,0
207.029883,2699673,5959651,4706541,0,0,3923707,2880450,2659942,4117418,2423766,2280840,0,0,0,0,6427983,10380972,3166678,4981639,2856660,5107410,2989255,5132331,6656266
207.029907,0,0,0,0,1896734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207.0662709,5074429,14723892,16672833,3281777,0,1936817,0,2945859,4958514,0,4527693,0,0,8019950,3071369,13293960,9402808,7054843,4702584,7072776,7389748,6459630,9064343,7876881
207.0662925,0,0,0,0,4775538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207.1026551,3390942,9574660,14645907,1982152,0,2024674,0,2809596,0,1868189,3768627,0,0,0,0,10393894,9222104,4551415,0,4429855,2952210,5873813,5986142,6159907
207.102678,0,0,0,0,2401073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207.1390381,0,0,4127590,1961851,0,0,0,0,0,0,2190772,0,0,0,0,4032043,0,0,0,0,0,0,0,0
207.9644603,0,0,0,0,0,2607244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208.0251296,0,2303878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2517946,0,0,0,0,0
208.0251599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2581637,0
208.06154,2270463,0,0,0,0,3229238,0,0,0,0,0,0,0,0,0,0,4446446,0,0,0,2588378,0,0,0
208.0979372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2543591,0,0,0,0,0,0,0,0
209.009146,0,0,2247046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009625,0,0,0,0,0
209.0244026,1813060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209.0277933,0,1918799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209.0455371,8237588,15740812,12792905,106144866,76638332,6680992,7967216,6821349,6823297,22556815,64040371,0,10231526,11951678,2896038,108153108,78655775,8975483,12493685,10021793,10901347,26475554,42723258,81138798
209.0567947,0,2273827,0,0,0,0,0,0,0,0,0,0,0,0,0,3319028,0,0,0,0,0,0,0,0
209.0720542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1823167,0,0,0
209.0819229,2448349,24727332,27247496,6651467,11740127,5014463,23764020,7897695,9594667,6714536,11458264,0,17442637,21037130,4556524,23863733,42192145,12579233,7095505,12309546,10077619,8794056,18520245,17114127
209.1183064,2844464,9781330,10999344,0,0,0,0,1956782,1969004,0,3250312,0,0,0,0,9545973,8832716,6040098,0,3396129,3184099,6219026,5163151,4320526
209.1183278,0,0,0,0,1971414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209.1546904,0,0,2984737,0,0,0,0,0,0,0,0,0,0,0,0,2462079,0,2026554,0,0,0,0,0,0
210.0408165,2592596,0,3420259,0,0,0,0,3287169,0,3089204,0,0,0,0,0,0,0,0,0,0,2482355,0,0,0
210.077182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2859385,0,0,0
210.9528955,0,0,0,0,0,0,1942357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210.9706575,0,0,0,0,0,0,2722020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211.0070437,0,0,6060059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211.0247974,0,3194736,3873946,2020609,0,5201702,2724542,3027568,2273772,0,2231605,0,0,0,0,5843821,0,2325895,4194348,1900160,2441491,2105952,4426823,4780942
211.0400668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1931699,0,0
211.0434438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4528583,0,0,0,0,0,0,0
211.0611848,19914550,36068424,32950795,11789723,0,22170729,11819932,22296412,34634239,11474071,23402570,0,25021024,34611352,5116862,45995874,35802891,17011273,31504183,30996810,28507585,29791579,35971018,36595435
211.0612066,0,0,0,0,23412538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211.0724276,0,5164760,4273126,0,0,0,0,0,0,0,0,0,0,0,0,5541590,0,0,0,0,2304322,3759353,0,0
211.09757,15419148,45449944,41876948,10219460,0,7159713,4996349,9554595,13046830,5988527,14703871,0,13313190,18747510,3510279,54743237,50479830,17878101,14332125,25296888,18836873,26116175,26617334,23023935
211.0975921,0,0,0,0,11903611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211.1339554,2023669,6840147,6094220,1992178,0,0,0,0,0,0,0,0,0,6811512,0,7314399,5893126,2869357,0,3566799,0,3270841,2737269,2906755
212.0564563,3402323,0,5605276,0,3699426,0,2249355,0,0,0,0,0,0,0,0,0,5610461,0,0,0,0,0,0,5819331
212.0717079,0,2110457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212.0928157,0,11233220,9323133,0,0,0,0,0,2773569,0,0,0,0,0,0,9553217,0,4561331,0,4928771,4237780,4387719,7487015,0
212.9863028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2347427,0,0,0,0,0
213.0040558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3495382,0,0,0,0,0,0,3609886,3344943
